store_name,store_contact,full_address,full_long_lat,longitude,latitude
ALDO GRAND INDONESIA,08118725161,"West Mall Level 1, Jl. M.H. Thamrin No.01 RT. 11/02, Gambir, Jakarta 10110","106.81976120,-6.19572590",106.81976120,-6.19572590
ALDO MALL OF INDONESIA,081119508171,"Ground Floor, Jl. Boulevard Bar. Raya No.12, RT.18/RW.19, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Jakarta 14240","106.88947240,-6.15093140",106.88947240,-6.15093140
ALDO PAKUWON MALL JOGJA,087883383226,"UG Floor, Jl. Ring Road Utara, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","110.39669360,-7.75880940",110.39669360,-7.75880940
ALDO PLAZA INDONESIA,085775356183,"Plaza Indonesia Mall Lantai 2, Jalan MH. Thamrin KAV 28 – 30 Rt. 09/05 Gondangdia Kec Menteng, Jakarta Pusat 10350","106.82006419,-6.19503060",106.82006419,-6.19503060
ALDO PONDOK INDAH MALL 1,083872945646,"PIM 2 Lantai G Unit 35A, Jl. Metro Pondok Indah RT.01/16, Pd. Pinang Kec. Kby. Lama Jakarta Selatan, 12310","106.78461880,-6.26455900",106.78461880,-6.26455900
ALDO SUPERMAL KARAWACI,087882556972,"Supermall Karawaci LG Unit 19A Karawaci, Bencongan Kec. Klp. Dua, Kab. Tangerang, Banten 15811","106.60702330,-6.22681160",106.60702330,-6.22681160
ALDO MALL KELAPA GADING,081218375226,"SMKG 2 I-225,227,Sentra Kelapa Gading, Jl. Mandiri Utara RT.13/18 East Kelapa Gading, Kelapa Gading, Jakarta Utara 14240","106.90498220,-6.16130870",106.90498220,-6.16130870
ALDO KOTA KASABLANKA,0895700921600,"Kota Kasblanka UG Unit 22 Jl. Casablanca raya Kav. 88 RT.12/04, Menteng Dalam, Kec. Tebet Kota Jakarta Selatan 12870","106.84259790,-6.22403530",106.84259790,-6.22403530
ALDO SENAYAN CITY,081219969373,"Jl. Asia Afrika Lot 19, Jakarta unit 2-69 RT.01/03, Gelora Kec. Tanah Abang Kota Jakpus DKI Jakarta 10270","106.79708500,-6.22717220",106.79708500,-6.22717220
ALDO LIPPO MALL PURI,086729622602,"Lippo St. Moritz Lt.9 Suite 0901 Puri Indah CBD Jalan Puri Indah Raya Blok, Blok U1, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","106.73655980,-6.18728740",106.73655980,-6.18728740
ALDO PLAZA SENAYAN,081317562971,"Plaza Senayan 207B, 209B, 215B, Jl. Asia Afrika No.8 RT. 01/RW.03, Gelora Kec. Tanah Abang, Jakpus, Jakarta 10270","106.79683900,-6.22546940",106.79683900,-6.22546940
ALDO TRANS STUDIO CIBUBUR,085780757867,"Jl. Alternatif Cibubur No.230, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454 LG GF-36","106.89903240,-6.37528710",106.89903240,-6.37528710
ALDO LIPPO MALL KEMANG,08568828197,"Lippo Mall Kemang GF, Unit 06, Jl. Kemang VI RT.01/05, Bangka, Kec. Mampang Prpt, Kota jaksel, Jakarta 12730","106.81028510,-6.26125790",106.81028510,-6.26125790
ALDO PARIS VAN JAVA,081381860206,"Mall Paris Van Java, Lt. RL-B25 Jl. Sukajadi no.131-139, Cipedes, kec Sukajadi, Bandung, Jawa Barat 40162","107.59354090,-6.88892440",107.59354090,-6.88892440
ALDO BEACHWALK BALI,081239446309,"Jl. Pantai Kuta, Beachwalk Shopping Center. Lt.1 Unit #D17-18, Badung-Bali 80361","115.16880700,-8.71694830",115.16880700,-8.71694830
ALDO SEMINYAK VILLAGE,087761017881,"Jl. Kayu Jati No.8 Mall Seminyak Village  Unit G-13,  Seminyak, Kec. Kuta Kab. Badung Bali 80361","115.15702320,-8.68328370",115.15702320,-8.68328370
ALDO SUPERMAL PAKUWON,088228466486,"Aldo Pakuwon Mall Lt. GF Unit 77, Jl. Raya Lontar No. 2 Babatan Kec. Wiyung SBY Jawa Timur 60213","112.67256820,-7.28950160",112.67256820,-7.28950160
ALDO TUNJUNGAN PLAZA,089617240426,"Aldo Tunjungan Plaza 4 Lt. 2 Unit 038 - 040 Jl. Basuki Rahmat No. 8-12 kedungdoro, Kec. Tegalsari, Kota SBY, Jawa Timur 60261","112.73854620,-7.26143070",112.73854620,-7.26143070
ALDO GALAXY MALL,081391998883,"Aldo Galaxy Mall Lt 1 Unit 175 - 176, Jalan Dharmahusada Indah Timur No 35-37, Klampis Ngasem, Kec.Sukolilo, Kota SBY Jawa Timur, 60115","112.78217390,-7.27469780",112.78217390,-7.27469780
ALDO CENTRE POINT,081328267161,"Mall Center Point GF. Jl Jawa no 04, Jl. Jawa No. 8 Gg. Buntu Kec. Medan Tim, Kota Medan Sumatra Utara 20236","98.67852400,3.59177550",98.67852400,3.59177550
ALDO PALEMBANG ICON,081313211454,"Mall Palembang Icon Jl.Pom Ix Lorok Pakjo,Kec Ilir Barat 1 Unit G-15 Kota Palembang Sumatera Selatan, 30137","104.74290500,-2.97904870",104.74290500,-2.97904870
ALDO MANADO TOWN SQUARE,0895321847708,"Unit GF 17, Jl. Pierre Tendean Bulevard No. 18, Sario Utara, Kec. Sario, Kota Mandao Sulawesi Utara 95114","124.82923570,1.47230520",124.82923570,1.47230520
ALDO PENTACITY BALIKPAPAN,089692558526,"Aldo Pentacity Balikpapan Super Block - DO21  Jl. Jendral Sudirman No.01, Damai Kec.Balikpapan Selatan, Kota Balikpapan, Kalimanta Timur 76114","116.85445470,-1.27416920",116.85445470,-1.27416920
ALDO SOGO PIM2 ,081384495403,"SOGO PIM 2 Lantai LG Unit 35A, Jl. Metro Pondok Indah RT.01/16, Pd. Pinang Kec. Kby. Lama Jakarta Selatan, 12310","106.78051310,-6.26438960",106.78051310,-6.26438960
ALDO SOGO KOKAS,085885993192,"SOGO Kota Kasblanka UG Unit 22 Jl. Casablanca raya Kav. 88 RT.12/04, Menteng Dalam, Kec. Tebet Kota Jakarta Selatan 12870","106.84024530,-6.22282700",106.84024530,-6.22282700
ALDO SEIBU GRAND INDONESIA,085892239362,"Seibu Grand Indonesia lt. UG, Jl. M.H. Thamrin No.01 RT. 11/02, Gambir, Jakarta 10110","106.82064310,-6.20002450",106.82064310,-6.20002450
ALDO SOGO CENTRAL PARK,081519511420,"Sogo Central Park Mall Lt. G Jl. Jl. Letjen S. Parman No. kav.28 Tj. Duren Sel.,Kec. Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta 11470","106.82210794,-6.18597622",106.82210794,-6.18597622
ALDO SOGO TUNJUNGAN PLAZA,08155173104,"SOGO Aldo Tunjungan Plaza 4 Lt. 2 Unit 038 - 040 Jl. Basuki Rahmat No. 8-12 kedungdoro, Kec. Tegalsari, Kota SBY, Jawa Timur 60261","112.73586820,-7.26236830",112.73586820,-7.26236830
