store_name,store_contact,full_address,full_long_lat,longitude,latitude
CONVERSE Grand Indonesia,(021) 23581176,"Grand Indonesia Mall Lt. 3, Jl. Mh. Thamrin No. 1","106.82047340,-6.19510543",106.82047340,-6.19510543
CONVERSE Mall Kota Kasablanka,081119310997,"Mall Kota Kasablanka - Lt. 1 Unit L1-66, Jl. Casablanca Raya, Kav. 88, Menteng Dalam, Tebet","106.84244840,-6.22310002",106.84244840,-6.22310002
CONVERSE Senayan City,081119310998,"Senayan City Mall Lt. 3, Jl. Asia Afrika No.19, Gelora, Tanah Abang, ","106.79787850,-6.22676739",106.79787850,-6.22676739
CONVERSE Tunjungan Plaza Surabaya,081132038400,"Tunjungan Plaza Surabaya Lt. UG Unit 03, Jl. Jend. Basuki Rachmat No. 8-12, Kedungdoro, Tegalsari","112.73970030,-7.26328511",112.73970030,-7.26328511
CONVERSE Summarecon Mall Bekasi,081119310992,"Summarecon Mall Bekasi - Lt. 1 Unit 125, Jl. Boulevard Ahmad Yani, Marga Mulya, Bekasi Utara","107.00094760,-6.22544493",107.00094760,-6.22544493
CONVERSE Pondok Indah Mall 3,081119330397,"Pondok Indah Mall 3 Lt. 1, Jl. Metro Pondok Indah,Pondok Indah Mall 3, Kebayoran Lama","106.78278050,-6.26364588",106.78278050,-6.26364588
CONVERSE Trans Studio Mall Bandung,081120008949,"Trans Studio Mall Bandung Lt. 1 Unit 165-167, Jl. Gatot Subroto No. 289, Cibangkong, Batununggal","107.63674380,-6.92458240",107.63674380,-6.92458240
CONVERSE Mall Plaza Senayan,081119358170,"Mall Plaza Senayan Lt. 3 Unit 311A, Jl. Asia Afrika No. 8, Gelora, Tanah Abang","106.79954260,-6.22534134",106.79954260,-6.22534134
CONVERSE Supermal Karawaci,081119310991,"Supermal Karawaci Lt. UG Unit A3/2A, Jl. Boulevard Diponegoro No. 485, Bencongan, Klp. Dua","106.60690000,-6.22680000",106.60690000,-6.22680000
CONVERSE Trans Studio Makassar,085244644443/082293658939,"Trans Studio Makassar Lt.1 Unit 119, Jl. HM. DG Patompo Metro Tanjung Bunga, Maccini Sombala, Makassar","119.42379000,-5.13535990",119.42379000,-5.13535990
CONVERSE Lippo Mall Puri,081119358178,"Lippo Mall Puri Lt. UG Unit 62, Jl. Puri Indah Raya, Kembangan Selatan, Kembangan","106.73911860,-6.18778136",106.73911860,-6.18778136
CONVERSE Mall Kelapa Gading,082112525520,"Mall Kelapa Gading Lt. GF Unit 121, Jl. Boulevard Raya, Kelapa Gading","106.90820000,-6.15850000",106.90820000,-6.15850000
CONVERSE Manado Town Square,081143702316,"Manado Town Square Lt.1, Jl. Piere Tendean Boulevard, Sario Utara, Sario","124.84207900,1.47748300",124.84207900,1.47748300
CONVERSE Gandaria City,081119330393,"Gandaria City Mall Lt. 2 Unit 231, Jl. Sultan Iskandar Muda, Gandaria, Kebayoran Lama","106.78365770,-6.24388050",106.78365770,-6.24388050
CONVERSE Living World Pekanbaru,08116682194,"Living World Pekanbaru Lt. UG Unit 21B, Jl. Soekarno Hatta, Tangkerang Barat, Marpoyan Damai","101.42430130,0.50061892",101.42430130,0.50061892
CONVERSE Plaza Ambarrukmo,08112841419,"Plaza Ambarrukmo Lt. 2 Unit A1, Jl. Laksda Adisucipto No. 80, Ambarukmo, Caturtunggal, Kec. Depok","110.40132900,-7.78228600",110.40132900,-7.78228600
CONVERSE Mall Of Indonesia,081119358072,"Mall Of Indonesia, Lt. GF Unit 7/8, Jl. Boulevard Barat Raya No. 12, Kelapa Gading Barat, Kelapa Gading","106.53290000,-6.15181200",106.53290000,-6.15181200
