store_name,store_contact,full_address,full_long_lat,longitude,latitude
Crocs Manado Town Square,,MANADO TOWN SQAURE LT. 1   UNIT 15 JL.PIERE TENDEAN BOULEVARD MANADO 95114 ,"124.83162680,1.47201181",124.83162680,1.47201181
CROCS TRANS STUDIO CIBUBUR,,"JL. Alternatif Cibubur, No. 230, Harjamukti. Depok","106.90217160,-6.37549473",106.90217160,-6.37549473
Crocs Living World Denpasar Bali,,"Living World Denpasar, Lt.GF Unit G-1C-17, JL. Gatot Subroto Timur, Tonja Denpasar Utara","115.23230250,-8.63460767",115.23230250,-8.63460767
Crocs Big Mall Samarinda,,"JL. UNTUNG SUROPATI NO. 8, BIG MALL SAMARINDA-KALTIM","117.11586640,-0.52501087",117.11586640,-0.52501087
Crocs A Yani Megamal Pontianak,,"JL. AKHMAD YANI, MEGAMALL PONTIANAK , KALBAR","109.34525730,-0.05158309",109.34525730,-0.05158309
Crocs Lippo Mall Puri,,"LIPPO MALL PURI LT.UG UNIT 90 JL. RAYA PURI INDAH, KEMBANGAN SELATAN - JAKARTA BARAT – 11610","106.73902780,-6.18859853",106.73902780,-6.18859853
CROCS AEON MALL BSD CITY,(021) 29915846,"Aeon Mall BSD, Lt.1 Jl. BSD Raya Utama, Desa Pagedangan, Tangerang, Banten","106.64357130,-6.30484567",106.64357130,-6.30484567
CROCS DUTA MALL BANJARMASIN,(0511) 6795569,Duta Mall Banjarmasin  Lantai 2 Blok E Unit 008  DUTA MALL BANJARMASIN  LANTAI 2 BLOK E UNIT 008  JLN. A. YANI KM.2 BANJARMASIN  BANJARMASIN,"114.60317230,-3.32300170",114.60317230,-3.32300170
CROCS SUPERMALL PAKUWON SURABAYA,,PAKUWON MALL LT. 1 UNIT 85A JL. PUNCAK INDAH LONTAR NO. 2 SURABAYA 60123,"112.67600970,-7.28871143",112.67600970,-7.28871143
CROCS TRANS STUDIO MAKASSAR,,"TRANS STUDIO MALL MAKASSAR LT.LG  UNIT 120,   JL.HM DG.PATOMPO-METRO TANJUNG BUNGA  90134 ","119.39445960,-5.15904589",119.39445960,-5.15904589
CROCS TRANS STUDIO MAKASSAR,,"TRANS STUDIO MALL MAKASSAR LT.LG  UNIT 120,   JL.HM DG.PATOMPO-METRO TANJUNG BUNGA  90134 ","119.39445960,-5.15904589",119.39445960,-5.15904589
Crocs Big Mall Samarinda,,"JL. UNTUNG SUROPATI NO. 8, BIG MALL SAMARINDA-KALTIM","117.11586640,-0.52501087",117.11586640,-0.52501087
Crocs A Yani Megamal Pontianak,,"JL. AKHMAD YANI, MEGAMALL PONTIANAK , KALBAR","109.34525730,-0.05158309",109.34525730,-0.05158309
Crocs Lippo Mall Puri,,"LIPPO MALL PURI LT.UG UNIT 90 JL. RAYA PURI INDAH, KEMBANGAN SELATAN - JAKARTA BARAT – 11610","106.73902780,-6.18859853",106.73902780,-6.18859853
Crocs Manado Town Square,,MANADO TOWN SQAURE LT. 1   UNIT 15 JL.PIERE TENDEAN BOULEVARD MANADO 95114 ,"124.83162680,1.47201181",124.83162680,1.47201181
Crocs Outlet Grand East,,"GRAND OUTLET EAST JAKARTA LT 1 UNIT 706 JALAN TRANS HEKSA, WANASARI, KEC TELUK JAMBE, KARAWANG JAWA BARAT JAWA BARAT 41361","107.24274340,-6.35624453",107.24274340,-6.35624453
CROCS PIM 3,(021) 27811439,"PONDOK INDAH MALL 3 Lt.3 #305 Jl. Kartika Utama No. 1 RT.6 RW.3 Kel. Pondok Pinang, Kec Kebayoran Lama","106.78235330,-6.26373047",106.78235330,-6.26373047
CROCS AEON MALL BSD CITY,(021) 29915846,"Aeon Mall BSD, Lt.1 Jl. BSD Raya Utama, Desa Pagedangan, Tangerang, Banten","106.64357130,-6.30484567",106.64357130,-6.30484567
CROCS SUPERMALL PAKUWON SURABAYA,,PAKUWON MALL LT. 1 UNIT 85A JL. PUNCAK INDAH LONTAR NO. 2 SURABAYA 60123,"112.67600970,-7.28871143",112.67600970,-7.28871143
CROCS DUTA MALL BANJARMASIN,(0511) 6795569,Duta Mall Banjarmasin  Lantai 2 Blok E Unit 008  DUTA MALL BANJARMASIN  LANTAI 2 BLOK E UNIT 008  JLN. A. YANI KM.2 BANJARMASIN  BANJARMASIN,"114.60317230,-3.32300170",114.60317230,-3.32300170
CROCS OUTLET SUMMARECON VILLAGGIO,,"Jl. Lingkar Tanjungpura No.1, Kondangjaya, Karawang Timur, Jawa Barat","107.33992810,-6.32354727",107.33992810,-6.32354727
CROCS CIBINONG CITY MALL 2,,"JL.TEGAR BERIMAN, PAKANSARI, CIBINONG, BOGOR","106.84110030,-6.48425757",106.84110030,-6.48425757
CROCS PLAZA INDONESIA,,"Jl.MH Thamrin Kav 28-30 , Jakarta Pusat","106.82170660,-6.19347009",106.82170660,-6.19347009
CROCS MALL OF INDONESIA,,JL.Boulevard Kelapa Gading Jakarta Utara 14240,"106.89189380,-6.15065835",106.89189380,-6.15065835
CROCS RUKO UBUD,,"Jl. Monkey Forest Ubud, Gianyar, Bali","115.36468960,-8.48411698",115.36468960,-8.48411698
CROCS BINTARO EXCHANGE 2,,"MALL BINTARO XCHANGE 2,CBD BINTARO JAYA BLOK O-2, BINTARO JAYA SEKTOR VII TANGERANG 15227","106.72976310,-6.28426741",106.72976310,-6.28426741
CROCS QUEEN CITY SEMARANG,,"QUEEN CITY MALL LT.G UNIT 18B, JL. PEMUDA NO. 29 -33, SEKAYU, KEC. SEMARANG TENGAH, SEMARANG, JAWA TENGAH","110.42038410,-6.97268780",110.42038410,-6.97268780
CROCS MALANG OLYMPIC GARDEN,,JL. KAWI NO. 24 MALANG,"112.62330230,-7.97720498",112.62330230,-7.97720498
CROCS SUMARECON MALL SERPONG,,"SUMMARECON MALL SERPONG JL. BOULEVARD RAYA GADING SERPONG, PAKULONAN BAR., KEC. KLP. DUA","106.62886410,-6.24072207",106.62886410,-6.24072207
CROCS THE PARK SOLO,,"JL.IR.SOEKARNO, MADEGONDO, SOLO BARU , SUKOHARJO","110.81665640,-7.59866224",110.81665640,-7.59866224
CROCS TAMAN ANGGREK MALL,(021) 5639242,"TAMAN ANGGREK MALL GL#E16-17 - Jl. Letjen S. Parman No.28, RT.9/RW.1, Tomang, Grogol petamburan, Kota Jakarta Barat","106.79033500,-6.17850750",106.79033500,-6.17850750
CROCS MALIOBORO MALL,021 57973214 / 021 579732,"MALIOBORO MALL L2#C5 - Jl. Malioboro 52-58, Yogyakarta","110.36595520,7.79332880",110.36595520,7.79332880
CROCS SUPERMAL KARAWACI,(021) 54210303,"Jl. Boulevard Diponegoro No. 105. Bencongan, Kelapa Dua","106.60653930,6.22742910",106.60653930,6.22742910
CROCS DELI PARK MEDAN,(061) 62000751,Jl. Guru Patimpus Blok OPQ No.1 Kesawan Medan,"0.00000000,0.00000000",0.00000000,0.00000000
CROCS PEJATEN VILLAGE,(021)78830739,"Jl. Warung Jati Barat No.39, , Jakarta Selatan ","0.00000000,0.00000000",0.00000000,0.00000000
CROCS AEON MALL SENTUL CITY,021 – 87965914,"AEON Mall Sentul, Lt. 1 #22 - JL. MH. Thamrin, Citaringgul, Kec. Babakan Madang","106.85641230,-6.56638299",106.85641230,-6.56638299
CROCS PONDOK INDAH MALL 1,(021)750 6927,Pondok Indah Mall 1 - Lantai 1 #128 Jl. Metro Pondok Indah Kav. 3/B,"106.78433900,-6.26529181",106.78433900,-6.26529181
Crocs Kota Kasablanka,(021) 29475150,Jl.Casablanka Raya Kav.88 Tebet,"106.86083110,-6.24098997",106.86083110,-6.24098997
CROCS PASKAL 23 BANDUNG,(022) 20591344,23 Paskal Lt. 2 Unit 36-41 Jl. Pasir Kaliki 25-27 Bandung,"107.59364450,-6.91562078",107.59364450,-6.91562078
CROCS TSM BANDUNG,(022) 86012090,Trans Studio Mall Lt. 1 Unit B169 Jl.Gatot Subroto No.289 Bandung,"107.63660490,-6.92610246",107.63660490,-6.92610246
CROCS AEON TANJUNG BARAT,(021) 50919946,"Aeon Mall Tanjung Barat Lt.1 Unit 19A Jl. Raya Tj. Barat, Tanjung Barat, Jagakarsa","106.84037090,-6.30595032",106.84037090,-6.30595032
CROCS PAKUWON YOGYAKARTA,(0274) 5027351,"Pakuwon Yogyakarta L1 #19,20 Jl. Ring Road Utara, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta","110.39919370,-7.75927527",110.39919370,-7.75927527
CROCS E-WALK BALIKPAPAN,(0542) 7570915,E-WALK BSB LT UG UNIT NO 27 JL. JEND SUDIRMAN CROCS E-WALK BSB LT UG UNIT NO 27 ,"116.85939880,-1.27295891",116.85939880,-1.27295891
CROCS GANDARIA CITY,(021) 29007838,"GANDARIA CITY MALL  GANDARIA CITY, LT. 1 UNIT 133","106.78341780,-6.24482702",106.78341780,-6.24482702
