storeCode,storeName,orgCode,imageLink,storePhone,storeMobile,managerUserCode,taxCode,bankName,bankAccount,bankAccountName,countryCode,countryName,stateCode,stateName,cityCode,cityName,districtCode,districtName,address1,zipCode,latitude,longitude,openStatus,status,defaultScheduleList,__typename
1024120207559,SMIGGLE BALI GALERIA,10008530,,081138206258,,,,,,,1,Indonesia,20002217,Bali,30002217,Kab. Badung,40002220,Kuta,"Extension Mall Bali Galeria Lt. 2 Unit 2E-18, Jl. Bypass Ngurah Rai, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",80361,-8.723210763880918,115.18434204336646,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024112907557,KIDZ STATION BALI GALERIA,10008528,,081119651530,,,,,,,1,Indonesia,20002217,Bali,30002217,Kab. Badung,40002220,Kuta,"Extension Mall Bali Galeria Lt. 2 Unit 2E-18, Jl. Bypass Ngurah Rai, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",80361,-8.723210763880918,115.18434204336646,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024112907556,KIDZ STATION GANDARIA CITY,10008527,,081119628896,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001414,Kota Jakarta Selatan,40001421,Kebayoran Lama,"Gandaria City Mall Lt. 2, Jl. Sultan Iskandar Muda, Gandaria, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",12240,-6.244298130716297,106.78293561600665,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024112207537,KIDZ STATION PLAZA AMBARRUKMO,10008506,,02744331361,,,,,,,1,Indonesia,20002429,DI Yogyakarta,30002459,Kab. Sleman,40002461,Depok,"Plaza Ambarrukmo Yogyakarta Lt. 1 Unit A32 - A34, Jl. Laksda Adisucipto No.80, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",55281,-7.7825663706375865,110.40109109112403,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024102507502,KIDZ STATION TRANSPARK MALL BINTARO,10008455,,02139710119,,,,,,,1,Indonesia,20001432,Banten,30006153,Kota Tangerang Selatan,40006173,Pondok Aren,"Transpark Mall Bintaro Lt 1 Unit 11-12, Jl. HR Rasuna Said No.5, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15220",15220,-6.277518037394517,106.71957591783564,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024100207427,KIDZ STATION OUTLET SUNTER MALL,10008375,,021658333599,,,,,bcjm-1,Staff,1,Indonesia,20001388,DKI Jakarta,30001400,Kota Jakarta Utara,40001401,Tanjung Priok,"Sunter Mall Lt. 2, Jl. Danau Sunter Utara Kav. II Blok G7, RT.1/RW.13, Sunter Agung, Kec. Tj. Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14350",14350,-6.137965741504792,106.87086479046734,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024093007376,KIDZ STATION EMPORIUM PLUIT,10008324,,02166676603,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001400,Kota Jakarta Utara,40001402,Penjaringan,"Emporium Pluit Mall Lantai 2 Unit 10-10A, Jl. Pluit Selatan Raya No.1, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",14440,-6.127255751482731,106.79097440611362,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024092507234,SMIGGLE EMPORIUM PLUIT,10008182,,081117063547,,,,,,,1,Indonesia,20001388,DKI Jakarta,30001400,Kota Jakarta Utara,40001402,Penjaringan,"Emporium Pluit Mall Lt. 2, Jl. Pluit Selatan Raya No.1, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",14440,-6.127261132413066,106.79097508689235,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024091007220,SMIGGLE SUMMARECON BANDUNG,10008165,,081120056659,,,,,,,1,Indonesia,20000422,Jawa Barat,30000619,Kota Bandung,40000621,Gedebage,"Summarecon Mall Bandung Lantai GF unit 893, Jl. Grand Bulevar no. 1, Kelurahan Rancabolang, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",40294,-6.9558443752845545,107.69389889474627,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
1024082907129,SMIGGLE KIOSK TRANS STUDIO MALL BANDUNG,10008074,,081120041208,,,,,,,1,Indonesia,20000422,Jawa Barat,30000619,Kota Bandung,40000635,Batununggal,"Mall TSM Bandung Lantai 1 RK 01-02, Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",40273,-6.925529468144846,107.63666531372432,1,1,"[{'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}, {'scheduleStartHour': '0900', 'scheduleEndHour': '1700', '__typename': 'DefaultSchedule'}]",Store
