store_name,store_contact,full_address,full_long_lat,longitude,latitude
NEW BALANCE GRAND INDONESIA,(021) 23580304,"Jl. M.H. Thamrin No.1, RT.1/RW.5, Kb. Melati, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","106.82171600,-6.19476100",106.82171600,-6.19476100
NEW BALANCE KOTA KASABLANKA,021-29465130,"Jalan Casablanca No.88, Unit #169, Menteng Dalam, Tebet, RT.14/RW.5, Menteng Dalam, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870","106.84276100,-6.22302600",106.84276100,-6.22302600
NEW BALANCE SENAYAN CITY,021-29329241,"l. Asia Afrika No.Lot. 19, RT.1/RW.3, Gelora, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","106.79717700,-6.22735500",106.79717700,-6.22735500
NEW BALANCE PONDOK INDAH MALL 3,021-7506927,"Jl. Metro Pondok Indah No.Kav. IV, RT.1/RW.16, Pd. Pinang, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310","106.78330900,-6.26552500",106.78330900,-6.26552500
NEW BALANCE MALL KELAPA GADING 2,021-45865050,"JL. BOULEVARD KELAPA GADING, LANTAI GROUND UNIT G147, JAKARTA UTARA","106.90795580,-6.15772400",106.90795580,-6.15772400
NEW BALANCE SUMMARECON MAL BEKASI,021-29453970,"Jl. Boulevard Ahmad Yani Blok M L1 UNIT#103, Sentra Summarecon Bekasi Marga Mulya, Bekasi Utara, Marga Mulya, Bekasi Utara, Kota Bks, Jawa Barat 17142","107.00117500,-6.22607900",107.00117500,-6.22607900
NEW BALANCE SUPERMAL KARAWACI,021-5461014,"Jl. Boulevard Diponegoro No. 105. Bencongan, Kelapa Dua. Tangerang, Banten.","106.60695400,-6.22725100",106.60695400,-6.22725100
NEW BALANCE MALL PANAKUKANG MAKASSAR,(0411) 4820511,"Jl.Boulevard Komp.Panakukang Mas Gedung B,GF B1- 07","119.44659600,-5.15745900",119.44659600,-5.15745900
NEW BALANCE TRANS STUDIO MALL MAKASSAR,(0411 ) 3604146,Jl.HM Dg Patompo-Metro Tanjung Bunga,"119.39439900,-5.15971400",119.39439900,-5.15971400
NEW BALANCE PARIS VAN JAVA,  022-82064127  ,"Jl. Sukajadi No.131-139, Cipedes, Sukajadi, Kota Bandung, Jawa Barat 40162","107.59579500,-6.88901400",107.59579500,-6.88901400
NEW BALANCE TRANS STUDIO MALL BANDUNG, 022-86012087 ," Jl. Gatot Subroto No.289, Cibangkong, Batununggal, Kota Bandung, Jawa Barat 40273","107.63669900,-6.92586100",107.63669900,-6.92586100
NEW BALANCE TUNJUNGAN PLAZA 3,031-5314225,Jl. Basuki Rahmat No. 8 - 12 Surabaya,"112.74012300,-7.26301900",112.74012300,-7.26301900
NEW BALANCE PAKUWON MALL,031-99148962,Jl. Puncak Indah Lontar No. 2 Surabaya,"112.67571900,-7.28801100",112.67571900,-7.28801100
NEW BALANCE PALEMBANG ICON MAL,0711-5649493,"Jl. POM IX, RT30 RW09, Lorok Pakjo, Palembang. 30137, Mall Palembang Icon - Lt.UG uni.35B","0.00000000,0.00000000",0.00000000,0.00000000
NEW BALANCE PALEMBANG INDAH MALL,(0711) 7623285,"Jl. Letkol Iskandar, kel. 24 ilir kec. Bukit Kecil, Palembang","104.75346600,-2.98419700",104.75346600,-2.98419700
NEW BALANCE DELI PARK MEDAN,(061) 62000742,"Jl. Putri Hijau No.1, Kesawan Lt.3, Kota Medan, Sumatera Utara","0.00000000,0.00000000",0.00000000,0.00000000
NEW BALANCE SUN PLAZA MEDAN,(061) 4501966,JL. H. Zainul Arifin no.7,"98.67195000,3.58283800",98.67195000,3.58283800
NEW BALANCE GALAXY MALL,031-5915163,Jl. Dharmahusada Indah Timur No. 35 - 37 Surabaya,"112.78196500,-7.27171400",112.78196500,-7.27171400
NEW BALANCE GANDARIA CITY,(021) 29053145,"Kebayoran Lama Utara RT.10, RT.10/RW.6, Kby. Lama Utara, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240","106.78340200,-6.24468700",106.78340200,-6.24468700
NEW BALANCE SUMMARECON MAL SERPONG,021-29171014,"Jl. Boulevard Raya Gading Serpong, Klp. Dua, Tangerang, Banten 15810","106.62852200,-6.24110600",106.62852200,-6.24110600
NEW BALANCE LIPPO MALL PURI,021-22582796,"Jalan Puri Indah Raya Blok U1, RT.3/RW.2, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","106.73874400,-6.18784500",106.73874400,-6.18784500
NEW BALANCE  JOGJA CITY MALL,(0274)5304239,JOGJA CITY MALL JL.MAGELANG KM 6 NO.18 SLEMAN YOGYAKARTA 55284,"110.36052000,-7.75305900",110.36052000,-7.75305900
NEW BALANCE MALL ALAM SUTERA,021-30448766," Jl. Jalur Sutera Barat Kav.16, Alam Sutera, Panunggangan Timur, Pinang, Panunggangan Tim., Pinang, Kota Tangerang, Banten 15143","106.65416400,-6.22268700",106.65416400,-6.22268700
New Balance Lippo Mall Kuta Icon,0361-8496141,Jl.Kartika Plasa Lingkar Segara 371 Kuta - Bali,"115.16637400,-8.73504900",115.16637400,-8.73504900
