store_name,store_contact,full_address,full_long_lat,longitude,latitude
SKECHERS SUPERMAL KARAWACI,021- 5469132,"JL. BOULEVARD DIPONEGORO 105 LIPO KARAWACI 1200,TANGERANG 15811","106.60706530,-6.22679678",106.60706530,-6.22679678
SKECHERS GANDARIA CITY,021-29007933,"JL. SULTAN ISKANDAR MUDA, KEBAYORAN LAMA , KEBAYORAN","106.78297380,-6.24455602",106.78297380,-6.24455602
SKECHERS PVJ BANDUNG,(022) 82063862,"JL. SUKAJADI NO.131-139, CIPEDES, KEC. SUKAJADI, KOTA BANDUNG, JAWA BARAT","107.59589240,-6.88738540",107.59589240,-6.88738540
SKECHERS CIPUTRA WORLD SBY,031-51200063,JL. MAYJEND SUNGKONO NO. 89 SURABAYA 60224,"112.71938660,-7.29238878",112.71938660,-7.29238878
SKECHERS TP3 SBY,031-5356455,JL. BASUKI RAHMAT NO. 8 - 12 SURABAYA 60261,"112.74019800,-7.26304047",112.74019800,-7.26304047
SKECHERS KOTA KASABLANKA,021-29465134,"JL. CASABLANCA RAYA, Mall kasablanka lt1.unit 166 KAV.88 TEBET JAKARTA SELATAN","106.84266700,-6.22311658",106.84266700,-6.22311658
SKECHERS ALAM SUTERA,021-30449318,"JL. JALUR SUTERA BARAT KAV.16, PANUNGGANGAN TIMUR, KEC. PINANG, KOTA TANGERANG, BANTEN 15143","106.65369400,-6.22223448",106.65369400,-6.22223448
SKECHERS PLUIT VILLAGE,021-66601750,JL PLUIT INDAH RAYA JAKARTA UTARA 14450,"106.78984350,-6.11598450",106.78984350,-6.11598450
SKECHERS THAMRIN PLAZA MEDAN,(061) 7348624,JL. MH. THAMRIN NO. 75R ,"98.69281504,3.58852423",98.69281504,3.58852423
SKECHERS MANADO TOWN SQUARE,0431- 8882936,"JL.PIERE TENDEAN BOULEVARD MANADO,KEL: SARIO UTARA,KEC: SARIO","124.83153980,1.47277547",124.83153980,1.47277547
SKECHERS CIHAMPELAS WALK,(022) 2061140,"JL. CIHAMPELAS NO.160, CIPAGANTI, KECAMATAN COBLONG, KOTA BANDUNG, JAWA BARAT ","107.60526020,-6.89292157",107.60526020,-6.89292157
SKECHERS PALEMBANG INDAH MALL,(0711) 7623269,"JL. LETKOL ISKANDAR, KEL. 24 ILIR KEC. BUKIT KECIL, PALEMBANG","104.75353110,-2.98400686",104.75353110,-2.98400686
SKECHERS EKALOKASARI BOGOR,0251-8363865 ,JL. SILIWANGI NO 123 LIPPO PLAZA LT.GF#29,"106.81828470,-6.62150778",106.81828470,-6.62150778
SKECHERS JOGJA CITY MALL,(0274) 5304287,JL.MAGELANG KM 6 NO.18 SLEMAN YOGYAKARTA 55284,"110.36073450,-7.75222812",110.36073450,-7.75222812
SKECHERS HARTONO MALL YOGYAKAR,(0274)2924134,"JL RAYA RINGROAD UTARA, SANGRAHAN, KALIWIRU, CONDONGCATUR,DEPOK,SLEMAN,YK ","110.39909450,-7.75966599",110.39909450,-7.75966599
SKECHERS GALERIA MALL YOGYAKAR,0274-584678,"JL.JEND SUDIRMAN NO 99-101, YOGYAKARTA","110.37918370,-7.78217886",110.37918370,-7.78217886
SKECHERS LIPPO PURI MALL,021-22582794,JL. PURI INDAH BOULEVARD KAV. IV JAKARTA BARAT 11610,"106.73902270,-6.18927987",106.73902270,-6.18927987
