store_id,lng,lat,website,name,postal_zip,address,address2,hours,city,prov_state,country,phone,email,fax
20838030,109.345664,-0.051166,,STEVE MADDEN AHMAD YANI PONTIANAK,78113,"Ayani Megamall Pontianak, Lt.1 Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat ",,,20838030,Kalimantan Barat,ID,,,
20118725,116.857031,-1.274150,https://www.stevemadden.id/,STEVE MADDEN PENTACITY BALIKPAPAN,76114,"MALL PENTACITY BALIKPAPAN SUPER BLOCK, LANTAI UG # 2, BALIKPAPAN SELATAN ",,10:00AM - 10:00 PM,20118725,Kalimantan Timur,ID,0542-5466027,bpned42@map.co.id,
20118728,110.420745,-6.973014,https://www.stevemadden.id/,STEVE MADDEN QUEEN CITY SEMARANG,50132,Queen City mall Semarang Lt. GF Unit 17A ,"Jl. Pemuda No. 29-33, Sekayu, Kec. Semarang Tengah, Semarang",10:00AM - 10:00 PM,20118728,Jawa Tengah,ID,082220104502,smged47@map.co.id,
20118719,110.412134,-6.982875,https://www.stevemadden.id/,STEVE MADDEN DP MALL SEMARANG ,50132,DP.Mall Lt.Ground Floor Unit-02 Semarang,Jl. Pemuda No.150,10:00AM - 10:00 PM,20118719,Jawa Tengah,ID,024-3585155,smged33@map.co.id,
20118714,112.738358,-7.261812,https://www.stevemadden.id/,STEVE MADDEN TP6 SURABAYA,60261,"Mall Tunjungan Plaza 6 .lt.2 Unit 05  JL. Basuki Rahmat NO.8-12, Kedungdoro, Kec.Tegalsari. Surabaya, Jawa Timur",,10:00AM - 10:00 PM,20118714,Jawa Timur,ID,PIC: Erwin 082332927015,sbyed52@map.co.id,
20118717,112.674684,-7.286903,https://www.stevemadden.id/,STEVE MADDEN PAKUWON SURABAYA,60216,Pakuwon Mall Lt.GF - 57 Surabaya,Jl. Puncak Indah Bukit Lontar No.2 ,10:00AM - 10:00 PM,20118717,Jawa Timur,ID,031-99150820,Sbyed32@map.co.id,
20118720,110.398954,-7.758660,https://www.stevemadden.id/,STEVE MADDEN MALL PAKUWON JOGJA,55283,Lt. Ground Floor Unit G-11 Sleman - Yogyakarta,"Jl. Raya Ringroad Utara, Sanggrahan, Kaliwaru, Condongcatur, Depok ",10:00AM - 10:00 PM,20118720,Yogyakarta,ID,0274-5028-191,ygked35@map.co.id,
20118726,107.339878,-6.323539,https://www.stevemadden.id/,STEVE MADDEN SUMMARECON VILLAGGIO,41371,Summarecon Villagio,"Jl. Lingkar Tanjungpura No. 1, Kondangjaya, Kec. Karawang Timur, Karawang, Jawa Barat",10:00AM - 10:00 PM,20118726,Jawa Barat,ID,081366884412,KRWED43@mapactive.id,
20118727,107.242941,-6.356601,https://www.stevemadden.id/,STEVE MADDEN GRAND EAST OUTLET,41361,"Grand East Outlet, First Floor Unit #324  ","Jalan Trans Heksa, Wanasari, Telukjambe Barat Karawang, West Java",10:00AM - 10:00 PM,20118727,Jawa Barat,ID,022-139703525,Krwed45@mapactive.id,
20838031,107.195541,-6.351838,,STEVE MADDEN AEON DELTA MAS,17530,"AEON Delta Mas - GF # G 065 Hegarmukti, Kec. Cikarang Pusat Kabupaten Bekasi, Jawa Barat ",,,20838031,Jawa Barat,ID,,,
18338767,106.908412,-6.157491,,STEVE MADDEN MALL KELAPA GADING,14240,"Mall Kelapa Gading 2 1st Floor, Unit 247, Jl. Boulevard Raya Kelapa Gading",,11:00am - 8:00pm,18338767,DKI Jakarta,ID,021-45878421,JAKED06@MAP.CO.ID,
18338776,106.891892,-6.151476,,STEVE MADDEN MALL OF INDONESIA,14220,"Mall Of Indonesia UG Floor, Unit C-23, Jl. Boulevard Barat Raya No.12, Kelapa Gading Barat",,11:00am - 8:00pm,18338776,DKI Jakarta,ID,,JAKED34@MAP.CO.ID,
21347665,106.989756,-6.255672,http://stevemadden.id,STEVE MADDEN PAKUWON MALL BEKASI,17148,"Mall Pakuwon Bekasi - Lantai UG Unit UG#29A Jl. Raya Pekayon, Pekayo Jaya, Kec. Bekasi Selatan Kota Bekasi, Jawa Barat ",,,21347665,,ID,PIC: AULIA 08989624-32,jaked54@map.co.id,
18338766,106.829342,-6.199356,,STEVE MADDEN GRAND INDONESIA,10310,"GRAND INDONESIA, WEST MALL LT.1 UNIT 16","WEST MALL GRAND INDONESIA LANTAI 1 UNIT NO.16 (WM-1-16) JALAN TELUK BETUNG 1 NO.45A KELURAHAN KEBON MELATI, KECAMATAN TANAH ABANG JAKARTA PUSAT 10310",11:00am - 8:00pm,18338766,Jakarta,ID,021-3104885,JAKED05@MAP.CO.ID,
18338765,106.821615,-6.195918,,STEVE MADDEN CENTRAL GRAND INDONESIA,10310,"Central Dept Store Grand Indonesia UG Floor, Jl. M.H. Thamrin No.1, Kebon Melati, Menteng",,11:00am - 8:00pm,18338765,DKI Jakarta,ID,021-2358 0489 ext.205/206,JAKED04@MAP.CO.ID,
18338770,106.789510,-6.171620,,STEVE MADDEN CENTRAL PARK,11470,"Central Park Ground Floor, Unit 107, Jl. Letjen S. Parman No.28, Tj. Duren Selatan, Grogol Petamburan",,11:00am - 8:00pm,18338770,DKI Jakarta,ID,021-56985225,JAKED13@MAP.CO.ID,
20838029,107.698003,-6.955359,,STEVE MADDEN SUMMARECON MALL BANDUNG,40294,"Plaza Summarecon Bandung Lt  GF - 808 JL Grand Bulevar No.1 Kel. Rancabolang, Kec. Gedebage, Kota Bandung. Jawa Barat",,,20838029,Jawa Barat,ID,,,
20118721,107.636670,-6.925506,https://www.stevemadden.id/,STEVE MADDEN TSM BANDUNG,40273,TSM Bandung Lt.GF Unit A025-A027 ,"Jl. Gatot Subroto No.289, Bandung, Jawa Barat",10:00AM - 10:00 PM,20118721,Jawa Barat,ID,022-86012368,bdged36@map.co.id ,
18338773,106.797098,-6.227104,,STEVE MADDEN SENAYAN CITY,10270,"Senayan City 3rd Floor, Unit 108, Jl. Asia Afrika No.Lot. 19, Gelora, Tanah Abang",,11:00am - 8:00pm,18338773,DKI Jakarta,ID,021-72781542,JAKED20@MAP.CO.ID,
18338772,106.752792,-6.186110,,STEVE MADDEN LIPPO MALL PURI,11610,"Lippo Mall Puri UG Floor, Unit 91, Jl. Puri Indah Raya Blok U1, Kembangan Selatan, Kembangan",,11:00am - 8:00pm,18338772,DKI Jakarta,ID,021-80600139,JAKED18@MAP.CO.ID,
20118716,107.594277,-6.915489,https://www.stevemadden.id/,STEVE MADDEN 23 PASKAL,40181,Jl. Pasir Kaliki No.25-27 Lt. 01 Unit 54 Kecamatan Andir,,10:00AM - 10:00 PM,20118716,Jawa Barat,ID,022-20592445,Bdged30@map.co.id,
18338771,106.783529,-6.244228,,STEVE MADDEN GANDARIA CITY,12240,"Gandaria City Ground Floor, Unit 21, Jl. Sultan Iskandar Muda, Kebayoran Lama Utara, Kebayoran Lama",,11:00am - 8:00pm,18338771,DKI Jakarta,ID,021-27936306​,JAKED14@MAP.CO.ID,
18338769,106.902170,-6.375066,,STEVE MADDEN TRANS STUDIO MALL CIBUBUR,16454,"Trans Studio Cibubur Ground Floor, Unit 25, Jl. Alternatif Cibubur No.230 A, Harjamukti, Cimanggis",,11:00am - 8:00pm,18338769,Jawa Barat,ID,021-39715526,JAKED10@MAP.CO.ID,
18338774,106.781691,-6.275986,,STEVE MADDEN PONDOK INDAH MALL 3,12310,"Pondok Indah Mall 3 UG Floor, Unit 127A, Jl. Metro Pondok Indah No.16, Pondok Pinang, Kebayorann Lama",,11:00am - 8:00pm,18338774,DKI Jakarta,ID,021-27814106,JAKED28@MAP.CO.ID,
20118729,106.729192,-6.285823,https://www.stevemadden.id/,STEVE MADDEN BINTARO EXCHANGE 2,15227,"LG Floor Unit #S-29  Bintaro Jaya Xchange Mall 2, CBD Bintaro Jaya","Jalan Sektor VII No.2, Tangerang Selatan, Banten ","10:00AM - 10:00 PM
",20118729,Banten,ID,082246540710,jaked48@map.co.id,
